Date,Avila Adobe,America Tropical Interpretive Center
1/1/2014,24778,6602
2/1/2014,18976,5029
3/1/2014,25231,8129
4/1/2014,26989,2824
5/1/2014,36883,10694
6/1/2014,29487,11036
7/1/2014,32378,13490
8/1/2014,37680,9139
9/1/2014,28473,5661
10/1/2014,27995,7356
11/1/2014,25691,9773
12/1/2014,18754,7184
1/1/2015,20438,6250
2/1/2015,15578,5907
3/1/2015,21297,9884
4/1/2015,26670,7254
5/1/2015,34383,13207
6/1/2015,30569,11102
7/1/2015,41242,11072
8/1/2015,30700,12096
9/1/2015,20967,6608
10/1/2015,29764,12524
11/1/2015,24483,6677
12/1/2015,21426,5967
1/1/2016,19659,6587
2/1/2016,17378,6955
3/1/2016,20322,9979
4/1/2016,24521,5113
5/1/2016,31728,7757
6/1/2016,23696,6751
7/1/2016,31689,12188
8/1/2016,25987,6245
9/1/2016,22897,6977
10/1/2016,25040,6282
11/1/2016,17760,6365
12/1/2016,20107,5223
1/1/2017,18792,4929
2/1/2017,14035,4493
3/1/2017,20680,6271
4/1/2017,25234,6685
5/1/2017,30029,7556
6/1/2017,22169,6818
7/1/2017,30831,8675
8/1/2017,27009,6212
9/1/2017,23403,4607
10/1/2017,22164,6097
11/1/2017,17629,6757
12/1/2017,18339,6780
1/1/2018,16265,5837
2/1/2018,14718,5705
3/1/2018,19001,4909
4/1/2018,18966,4650
5/1/2018,25173,5626
6/1/2018,22171,4694
7/1/2018,23136,4718
8/1/2018,20815,3891
9/1/2018,21020,3180
10/1/2018,19280,3775
11/1/2018,17163,4562
